qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
AB022925.1	RS_GCF_014207505.1~NZ_JACHGL010000013.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008689675.1~NZ_VBWR01000011.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_030585425.1~NZ_CP054418.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_900322415.1~NZ_ONZM01000023.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008690875.1~NZ_VBXD01000008.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008689765.1~NZ_VBWW01000011.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008690985.1~NZ_VBXG01000008.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008690845.1~NZ_VBXB01000011.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008689755.1~NZ_VBWV01000011.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008690965.1~NZ_VBXE01000008.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_030585795.1~NZ_CP130703.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008690785.1~NZ_VBWY01000013.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_900322425.1~NZ_OOIO01000009.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_007954525.1~NZ_CP042374.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008690865.1~NZ_VBXC01000011.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_019655915.1~NZ_BPKR01000023.1	100.0	1449	0	0	2	1450	37	1485	0.0	2676.0
AB022925.1	RS_GCF_008689695.1~NZ_VBWS01000014.1	99.931	1449	1	0	2	1450	37	1485	0.0	2671.0
