qseqid,sseqid,pident,length,accession,ncbi_isolation_source,ncbi_country,gtdb_taxonomy
AB022925.1,RS_GCF_014207505.1~NZ_JACHGL010000013.1,100.0,1449,RS_GCF_014207505.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008689675.1~NZ_VBWR01000011.1,100.0,1449,RS_GCF_008689675.1,Cooked ham,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_030585425.1~NZ_CP054418.1,100.0,1449,RS_GCF_030585425.1,Natural product,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_900322415.1~NZ_ONZM01000023.1,100.0,1449,RS_GCF_900322415.1,Beef carpaccio,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008690875.1~NZ_VBXD01000008.1,100.0,1449,RS_GCF_008690875.1,Cooked ham,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008689765.1~NZ_VBWW01000011.1,100.0,1449,RS_GCF_008689765.1,Sausage,Italy,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008690985.1~NZ_VBXG01000008.1,100.0,1449,RS_GCF_008690985.1,Cooked ham,Italy,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008690845.1~NZ_VBXB01000011.1,100.0,1449,RS_GCF_008690845.1,Cooked ham,Germany,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008689755.1~NZ_VBWV01000011.1,100.0,1449,RS_GCF_008689755.1,Sausage,Italy,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008690965.1~NZ_VBXE01000008.1,100.0,1449,RS_GCF_008690965.1,Cooked ham,Poland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_030585795.1~NZ_CP130703.1,100.0,1449,RS_GCF_030585795.1,vacuum-packed,Finland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008690785.1~NZ_VBWY01000013.1,100.0,1449,RS_GCF_008690785.1,Cooked ham,Italy,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_900322425.1~NZ_OOIO01000009.1,100.0,1449,RS_GCF_900322425.1,Beef carpaccio,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_007954525.1~NZ_CP042374.1,100.0,1449,RS_GCF_007954525.1,kimchi,South Korea,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008690865.1~NZ_VBXC01000011.1,100.0,1449,RS_GCF_008690865.1,Cooked ham,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_019655915.1~NZ_BPKR01000023.1,100.0,1449,RS_GCF_019655915.1,Vacuum-packaged beef,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008689695.1~NZ_VBWS01000014.1,99.931,1449,RS_GCF_008689695.1,Sausage,Italy,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008690925.1~NZ_VBXF01000007.1,99.931,1449,RS_GCF_008690925.1,Cooked ham,Italy,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_000300135.1~NC_018673.1,99.931,1449,RS_GCF_000300135.1,Kimchi; Korean traditional fermented food,South Korea,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_008690825.1~NZ_VBXA01000007.1,99.931,1449,RS_GCF_008690825.1,Cooked ham,Germany,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc carnosum
AB022925.1,RS_GCF_020089135.1~NZ_JAHBFJ010000024.1,98.896,1449,RS_GCF_020089135.1,Processing plant,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020088845.1~NZ_JAHBEQ010000001.1,98.896,1449,RS_GCF_020088845.1,Beef meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_009296125.1~NZ_CP017197.1,98.896,1449,RS_GCF_009296125.1,meat,Germany,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,GB_GCA_000166735.2~AEMJ01000011.1,98.896,1449,GB_GCA_000166735.2,kimchi,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,GB_GCA_900016185.1~FBSX01000012.1,98.896,1449,GB_GCA_900016185.1,carrot,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
